region_code,reference_year,total_houses,old_house_count,old_house_ratio,source,is_sample
21010510,2024,12306.0,1838.0,14.935803673005038,시연용 합성 데이터,True
21010520,2024,4900.0,1322.0,26.979591836734695,시연용 합성 데이터,True
21010530,2024,5605.0,2685.0,47.90365744870651,시연용 합성 데이터,True
21010540,2024,3653.0,959.0,26.252395291541198,시연용 합성 데이터,True
21010560,2024,12333.0,7130.0,57.812373307386686,시연용 합성 데이터,True
21010570,2024,13730.0,7235.0,52.69482884195193,시연용 합성 데이터,True
21010580,2024,8166.0,4607.0,56.41685035513103,시연용 합성 데이터,True
21010590,2024,9259.0,2943.0,31.78528998811967,시연용 합성 데이터,True
21010600,2024,4651.0,1317.0,28.3164910771877,시연용 합성 데이터,True
21020510,2024,9517.0,4001.0,42.04055899968478,시연용 합성 데이터,True
21020520,2024,18520.0,3315.0,17.899568034557237,시연용 합성 데이터,True
21020530,2024,5701.0,1934.0,33.92387300473601,시연용 합성 데이터,True
21020540,2024,16224.0,2732.0,16.839250493096646,시연용 합성 데이터,True
21020560,2024,11954.0,4336.0,36.27237744687971,시연용 합성 데이터,True
21020570,2024,4104.0,1859.0,45.29727095516569,시연용 합성 데이터,True
21020590,2024,7717.0,780.0,10.107554749254891,시연용 합성 데이터,True
21020610,2024,3425.0,2089.0,60.99270072992701,시연용 합성 데이터,True
21020630,2024,3663.0,918.0,25.061425061425062,시연용 합성 데이터,True
21020640,2024,3703.0,563.0,15.203888738860382,시연용 합성 데이터,True
21020650,2024,2997.0,344.0,11.478144811478144,시연용 합성 데이터,True
21020680,2024,10465.0,1144.0,10.93167701863354,시연용 합성 데이터,True
21020690,2024,6570.0,4118.0,62.67884322678843,시연용 합성 데이터,True
21030510,2024,8392.0,4738.0,56.45853193517636,시연용 합성 데이터,True
21030520,2024,2140.0,221.0,10.327102803738319,시연용 합성 데이터,True
21030530,2024,4214.0,1397.0,33.15140009492169,시연용 합성 데이터,True
21030550,2024,13161.0,5313.0,40.36927285160702,시연용 합성 데이터,True
21030560,2024,9029.0,2260.0,25.03045741499612,시연용 합성 데이터,True
21030570,2024,13786.0,1677.0,12.164514725083418,시연용 합성 데이터,True
21030590,2024,9028.0,3050.0,33.78378378378378,시연용 합성 데이터,True
21030600,2024,4257.0,2209.0,51.89100305379375,시연용 합성 데이터,True
21030660,2024,3058.0,1925.0,62.94964028776978,시연용 합성 데이터,True
21030680,2024,1522.0,820.0,53.87647831800263,시연용 합성 데이터,True
21030700,2024,2595.0,699.0,26.936416184971097,시연용 합성 데이터,True
21030710,2024,9361.0,5770.0,61.638713812626854,시연용 합성 데이터,True
21040530,2024,8224.0,4742.0,57.66050583657587,시연용 합성 데이터,True
21040540,2024,9320.0,1532.0,16.43776824034335,시연용 합성 데이터,True
21040550,2024,4356.0,1061.0,24.35720844811754,시연용 합성 데이터,True
21040590,2024,13342.0,5320.0,39.874081846799584,시연용 합성 데이터,True
21040630,2024,16661.0,7068.0,42.42242362403217,시연용 합성 데이터,True
21040640,2024,8415.0,2455.0,29.174093879976233,시연용 합성 데이터,True
21040650,2024,3175.0,913.0,28.755905511811026,시연용 합성 데이터,True
21040660,2024,13475.0,3085.0,22.894248608534323,시연용 합성 데이터,True
21040670,2024,6446.0,1985.0,30.794291033198885,시연용 합성 데이터,True
21040680,2024,3536.0,353.0,9.983031674208146,시연용 합성 데이터,True
21040690,2024,6515.0,3175.0,48.73369148119724,시연용 합성 데이터,True
21050520,2024,14821.0,7917.0,53.41744821537008,시연용 합성 데이터,True
21050540,2024,11662.0,1448.0,12.416395129480364,시연용 합성 데이터,True
21050550,2024,2369.0,1405.0,59.3077247783875,시연용 합성 데이터,True
21050560,2024,3704.0,1972.0,53.23974082073434,시연용 합성 데이터,True
21050570,2024,15185.0,9297.0,61.22489298649983,시연용 합성 데이터,True
21050610,2024,11442.0,4179.0,36.5233350812795,시연용 합성 데이터,True
21050640,2024,4544.0,2538.0,55.85387323943662,시연용 합성 데이터,True
21050660,2024,4692.0,983.0,20.95055413469736,시연용 합성 데이터,True
21050680,2024,11082.0,6031.0,54.421584551524994,시연용 합성 데이터,True
21050700,2024,8058.0,3708.0,46.01638123603872,시연용 합성 데이터,True
21050720,2024,6598.0,2155.0,32.66141254925735,시연용 합성 데이터,True
21050740,2024,1841.0,474.0,25.746876697447043,시연용 합성 데이터,True
21050750,2024,1882.0,239.0,12.699256110520723,시연용 합성 데이터,True
21050760,2024,10702.0,5421.0,50.654083348906745,시연용 합성 데이터,True
21050770,2024,9864.0,5228.0,53.00081103000811,시연용 합성 데이터,True
21050800,2024,1494.0,459.0,30.72289156626506,시연용 합성 데이터,True
21050810,2024,4119.0,2174.0,52.779800922554024,시연용 합성 데이터,True
21050820,2024,6013.0,3682.0,61.23399301513388,시연용 합성 데이터,True
21050830,2024,7507.0,3322.0,44.252031437325165,시연용 합성 데이터,True
